STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS  IN CONSTITUENCY,OVER TOTAL VOTES POLLED  IN CONSTITUENCY,TOTAL ELECTORS,anomaly,NET_WORTH,soundex,uniqueness_score
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,DELKAR MOHANBHAI SANJIBHAI,1.0,IND,Batsman,MALE,0,56.0,ST,Graduate,70888598070.0,372681623.0,90399.0,22.0,90421.0,36.16420495,45.44134202,250029.0,-1.0,70515916447.0,D426,0.3333333333333333
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,PATEL NATUBHAI GOMANBHAI,0.0,BJP,Lotus,MALE,6,46.0,ST,5th Pass,49694266349.0,21561750121.0,81384.0,36.0,81420.0,32.56422255,40.91786274,250029.0,-1.0,28132516228.0,P345,0.2
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,TOKIYA PRABHUBHAI,0.0,INC,Hand,MALE,1,40.0,ST,12th Pass,543063354.0,0.0,8608.0,0.0,8608.0,3.442800635,4.325975958,250029.0,-1.0,543063354.0,T216,1.0
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,PATEL ANKITA AMRUTBHAI,0.0,SHS,Bow & Arrow,FEMALE,0,35.0,ST,Graduate Professional,464863474.0,122069981.0,4000.0,0.0,4000.0,1.599814422,2.010211876,250029.0,-1.0,342793493.0,P345,0.2
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,KURADA DEEPAKBHAI,0.0,IND,Throwing a Javelin,MALE,0,33.0,ST,Graduate,2009520.0,0.0,3630.0,0.0,3630.0,1.451831588,1.824267278,250029.0,-1.0,2009520.0,K633,1.0
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,NOTA,0.0,NOTA,Lotus,MALE,0,41.4,GENERAL,Post Graduate,440429409.0,9647749.0,2950.0,0.0,2950.0,1.179863136,1.482531259,250029.0,-1.0,430781660.0,N300,0.004081632653061225
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,DAYAT MANOJ RANCHOD,0.0,IND,Helicopter,MALE,0,31.0,ST,12th Pass,8406084.0,8406084.0,2287.0,0.0,2287.0,0.914693896,1.14933864,250029.0,-1.0,0.0,D355,0.5
Gujarat,DAHOD,JASHVANTSINH SUMANBHAI BHABHOR,1.0,BJP,Lotus,MALE,0,52.0,ST,Graduate Professional,270704802.0,0.0,558977.0,2783.0,561760.0,35.13329777,52.77759771,1598939.0,1.0,270704802.0,J215,1.0
Gujarat,DAHOD,KATARA BABUBHAI KHIMABHAI,0.0,INC,Hand,MALE,1,58.0,ST,Graduate,480205394.0,249050224.0,431312.0,2852.0,434164.0,27.153256,40.7898977,1598939.0,1.0,231155170.0,K361,1.0
Gujarat,DAHOD,NOTA,0.0,NOTA,Lotus,MALE,0,48.4,GENERAL,Post Graduate,440429409.0,9647749.0,31873.0,63.0,31936.0,1.997324476,3.000401168,1598939.0,1.0,430781660.0,N300,0.004081632653061225
Gujarat,DAHOD,BHABHOR DHULABHAI DITABHAI,0.0,BSP,Elephant,MALE,0,64.0,ST,10th Pass,7184571.0,0.0,11329.0,10.0,11339.0,0.70915776,1.06530401,1598939.0,1.0,7184571.0,B163,1.0
Gujarat,DAHOD,DEVDHA SAMSUBHAI KHATARABHAI,0.0,IND,Boat with Man and Sail,MALE,0,51.0,ST,Graduate Professional,440429409.0,0.0,11135.0,7.0,11142.0,0.69683709,1.046795773,1598939.0,1.0,440429409.0,D132,0.3333333333333333
